epoch,iteration,loss
1,2370,650.838
1,2400,418.376
1,2450,1614.114
1,2500,850.218
1,2550,790.234
1,2600,359.006
1,2650,402.399
1,2700,641.721
1,2750,426.526
1,2800,447.613
1,2850,774.961
1,2900,459.978
1,2950,10594.21
1,3000,757.711
1,3050,924.06
1,3100,404.882
1,3150,539.602
1,3200,359.481
1,3250,1042.118
1,3300,685.99
1,3350,202.764
1,3400,750.311
1,3450,774.325
1,3500,376.605
1,3550,1407.055
1,3600,5778.685
1,3650,1460.086
1,3700,539.453
1,3750,150.495
1,3800,513.061
1,3850,614.924
1,3900,1022.375
1,3950,470.709
1,4000,2714.856
1,4050,543.102
1,4100,1337.481
1,4150,801.836
1,4200,833.401
1,4250,772.978
1,4300,552.208
1,4350,262.754
1,4400,2786.833
1,4450,1089.84
1,4500,140.825
1,4550,270.736
1,4600,418.139
1,4650,149.446
1,4700,892.206
1,4750,463.669
1,4800,321.757
1,4850,1092.553
1,4900,173.559
1,4950,1140.859
1,5000,481.89
1,5050,688.198
1,5100,464.239
1,5150,938.108
1,5200,538.535
1,5250,509.612
1,5300,490.39
1,5350,308.292
1,5400,1500.614
1,5450,629.209
1,5500,754.291
1,5550,544.337
1,5600,3680.671
1,5650,272.465
1,5700,450.563
1,5750,578.676
1,5800,308.426
1,5850,635.234
1,5900,446.056
1,5950,736.971
1,6000,729.006
1,6050,574.65
1,6100,384.51
1,6150,2743.632
1,6200,352.807
1,6250,483.089
1,6300,518.47
1,6350,888.935
1,6400,588.535
1,6450,691.821
1,6500,734.434
1,6550,503.695
1,6600,712.523
1,6650,1977.472
1,6700,415.671
1,6750,998.922
1,6800,282.737
1,6850,7084.471
1,6900,216.089
1,6950,2641.26
1,7000,290.578
1,7050,264.546
1,7100,501.326
1,7150,938.216
1,7200,396.252
1,7250,240.163
1,7300,433.339
2,9680,803.644
2,9700,699.534
2,9750,870.438
2,9800,149.481
2,9850,275.717
2,9900,201.954
2,9950,309.545
2,10000,313.686
2,10050,206.303
2,10100,353.939
2,10150,209.643
2,10200,426.114
2,10250,1060.911
2,10300,847.343
2,10350,662.932
2,10400,333.748
2,10450,306.504
2,10500,520.484
2,10550,22.149
2,10600,649.022
2,10650,312.79
2,10700,610.341
2,10750,833.791
2,10800,299.13
2,10850,876.474
2,10900,365.973
2,10950,462.362
2,11000,375.095
2,11050,109999.57
2,11100,413.534
2,11150,437.867
2,11200,1248.814
2,11250,291.992
2,11300,541.516
2,11350,441.576
2,11400,94.765
2,11450,242.61
2,11500,535.903
2,11550,557.759
2,11600,729.524
2,11650,63.72
2,11700,513.732
2,11750,1910.497
2,11800,76.905
2,11850,451.26
2,11900,38.937
2,11950,532.491
2,12000,15455.387
2,12050,516.357
2,12100,1151.708
2,12150,578.135
2,12200,901.213
2,12250,781.11
2,12300,676.492
2,12350,454.339
2,12400,292.96
2,12450,560.414
2,12500,178.907
2,12550,192.944
2,12600,401.155
2,12650,127.869
2,12700,806.377
2,12750,249.762
2,12800,777.264
2,12850,192.476
2,12900,292.155
2,12950,284.051
2,13000,603.881
2,13050,647.338
2,13100,360.161
2,13150,634.784
2,13200,578.157
2,13250,413.935
2,13300,309.524
2,13350,846.528
2,13400,119.977
2,13450,377.653
2,13500,940.268
2,13550,256.038
2,13600,252.276
2,13650,386.5
2,13700,519.781
2,13750,833.5
2,13800,356.657
2,13850,372.124
2,13900,974.515
2,13950,355.691
2,14000,413.003
2,14050,443.538
2,14100,1641.371
2,14150,359.942
2,14200,614.281
2,14250,281.645
2,14300,240.858
2,14350,484.261
2,14400,867.96
2,14450,88.751
2,14500,697.399
2,14550,163.229
2,14600,583.525
3,19359,412.1
3,19400,-45.217
3,19450,357.989
3,19500,555.066
3,19550,159.551
3,19600,335.771
3,19650,269.052
3,19700,70.384
3,19750,600.303
3,19800,865.547
3,19850,403.865
3,19900,672.253
3,19950,449.81
3,20000,413.783
3,20050,605.706
3,20100,216.241
3,20150,359.1
3,20200,1446.631
3,20250,216.161
3,20300,330.162
3,20350,327.661
3,20400,360.298
3,20450,565.443
3,20500,617.079
3,20550,489.206
3,20600,641.08
3,20650,354.611
3,20700,325.795
3,20750,599.088
3,20800,601.59
3,20850,3212.831
3,20900,1067.14
3,20950,153.803
3,21000,384.22
3,21050,330.016
3,21100,298.81
3,21150,1039.149
3,21200,739.828
3,21250,364.721
3,21300,41.938
3,21350,100.927
3,21400,654.599
3,21450,1370.948
3,21500,517.647
3,21550,389.926
3,21600,401.574
3,21650,148.421
3,21700,338.552
3,21750,1320.008
3,21800,62.98
3,21850,579.052
3,21900,292.229
3,21950,425.214
3,22000,-11.071
3,22050,232.676
3,22100,460.618
3,22150,784.122
3,22200,492.982
3,22250,-17.129
3,22300,815.92
3,22350,480.665
3,22400,1564.963
3,22450,718.814
3,22500,123.747
3,22550,673.299
3,22600,182.634
3,22650,-99.011
3,22700,154.843
3,22750,-41.114
